"Subject","DeathPenalty","OffenderRace","VictimRace"
1,"death","white","white"
2,"death","white","white"
3,"death","white","white"
4,"death","white","white"
5,"death","white","white"
6,"death","white","white"
7,"death","white","white"
8,"death","white","white"
9,"death","white","white"
10,"death","white","white"
11,"death","white","white"
12,"death","white","white"
13,"death","white","white"
14,"death","white","white"
15,"death","white","white"
16,"death","white","white"
17,"death","white","white"
18,"death","white","white"
19,"death","white","white"
20,"death","white","white"
21,"death","white","white"
22,"death","white","white"
23,"death","white","white"
24,"death","white","white"
25,"death","white","white"
26,"death","white","white"
27,"death","white","white"
28,"death","white","white"
29,"death","white","white"
30,"death","white","white"
31,"death","white","white"
32,"death","white","white"
33,"death","white","white"
34,"death","white","white"
35,"death","white","white"
36,"death","white","white"
37,"death","white","white"
38,"death","white","white"
39,"death","white","white"
40,"death","white","white"
41,"death","white","white"
42,"death","white","white"
43,"death","white","white"
44,"death","white","white"
45,"death","white","white"
46,"death","white","white"
47,"not","white","white"
48,"not","white","white"
49,"not","white","white"
50,"not","white","white"
51,"not","white","white"
52,"not","white","white"
53,"not","white","white"
54,"not","white","white"
55,"not","white","white"
56,"not","white","white"
57,"not","white","white"
58,"not","white","white"
59,"not","white","white"
60,"not","white","white"
61,"not","white","white"
62,"not","white","white"
63,"not","white","white"
64,"not","white","white"
65,"not","white","white"
66,"not","white","white"
67,"not","white","white"
68,"not","white","white"
69,"not","white","white"
70,"not","white","white"
71,"not","white","white"
72,"not","white","white"
73,"not","white","white"
74,"not","white","white"
75,"not","white","white"
76,"not","white","white"
77,"not","white","white"
78,"not","white","white"
79,"not","white","white"
80,"not","white","white"
81,"not","white","white"
82,"not","white","white"
83,"not","white","white"
84,"not","white","white"
85,"not","white","white"
86,"not","white","white"
87,"not","white","white"
88,"not","white","white"
89,"not","white","white"
90,"not","white","white"
91,"not","white","white"
92,"not","white","white"
93,"not","white","white"
94,"not","white","white"
95,"not","white","white"
96,"not","white","white"
97,"not","white","white"
98,"not","white","white"
99,"not","white","white"
100,"not","white","white"
101,"not","white","white"
102,"not","white","white"
103,"not","white","white"
104,"not","white","white"
105,"not","white","white"
106,"not","white","white"
107,"not","white","white"
108,"not","white","white"
109,"not","white","white"
110,"not","white","white"
111,"not","white","white"
112,"not","white","white"
113,"not","white","white"
114,"not","white","white"
115,"not","white","white"
116,"not","white","white"
117,"not","white","white"
118,"not","white","white"
119,"not","white","white"
120,"not","white","white"
121,"not","white","white"
122,"not","white","white"
123,"not","white","white"
124,"not","white","white"
125,"not","white","white"
126,"not","white","white"
127,"not","white","white"
128,"not","white","white"
129,"not","white","white"
130,"not","white","white"
131,"not","white","white"
132,"not","white","white"
133,"not","white","white"
134,"not","white","white"
135,"not","white","white"
136,"not","white","white"
137,"not","white","white"
138,"not","white","white"
139,"not","white","white"
140,"not","white","white"
141,"not","white","white"
142,"not","white","white"
143,"not","white","white"
144,"not","white","white"
145,"not","white","white"
146,"not","white","white"
147,"not","white","white"
148,"not","white","white"
149,"not","white","white"
150,"not","white","white"
151,"not","white","white"
152,"not","white","white"
153,"not","white","white"
154,"not","white","white"
155,"not","white","white"
156,"not","white","white"
157,"not","white","white"
158,"not","white","white"
159,"not","white","white"
160,"not","white","white"
161,"not","white","white"
162,"not","white","white"
163,"not","white","white"
164,"not","white","white"
165,"not","white","white"
166,"not","white","white"
167,"not","white","white"
168,"not","white","white"
169,"not","white","white"
170,"not","white","white"
171,"not","white","white"
172,"not","white","white"
173,"not","white","white"
174,"not","white","white"
175,"not","white","white"
176,"not","white","white"
177,"not","white","white"
178,"not","white","white"
179,"not","white","white"
180,"not","white","white"
181,"not","white","white"
182,"not","white","white"
183,"not","white","white"
184,"not","white","white"
185,"not","white","white"
186,"not","white","white"
187,"not","white","white"
188,"not","white","white"
189,"not","white","white"
190,"not","white","white"
199,"death","black","white"
200,"death","black","white"
201,"death","black","white"
202,"death","black","white"
203,"death","black","white"
204,"death","black","white"
205,"death","black","white"
206,"death","black","white"
207,"death","black","white"
208,"death","black","white"
209,"death","black","white"
210,"death","black","white"
211,"death","black","white"
212,"death","black","white"
213,"death","black","white"
214,"death","black","white"
215,"death","black","white"
216,"death","black","white"
217,"death","black","white"
218,"death","black","white"
219,"death","black","white"
220,"death","black","white"
221,"death","black","white"
222,"death","black","white"
223,"death","black","white"
224,"death","black","white"
225,"death","black","white"
226,"death","black","white"
227,"death","black","white"
228,"death","black","white"
229,"death","black","white"
230,"death","black","white"
231,"death","black","white"
232,"death","black","white"
233,"death","black","white"
234,"death","black","white"
235,"death","black","white"
237,"not","black","white"
238,"not","black","white"
239,"not","black","white"
240,"not","black","white"
241,"not","black","white"
242,"not","black","white"
243,"not","black","white"
244,"not","black","white"
245,"not","black","white"
246,"not","black","white"
247,"not","black","white"
248,"not","black","white"
249,"not","black","white"
250,"not","black","white"
251,"not","black","white"
252,"not","black","white"
253,"not","black","white"
254,"not","black","white"
255,"not","black","white"
256,"not","black","white"
257,"not","black","white"
258,"not","black","white"
259,"not","black","white"
260,"not","black","white"
261,"not","black","white"
262,"not","black","white"
263,"not","black","white"
264,"not","black","white"
265,"not","black","white"
266,"not","black","white"
267,"not","black","white"
268,"not","black","white"
269,"not","black","white"
270,"not","black","white"
271,"not","black","white"
272,"not","black","white"
273,"not","black","white"
274,"not","black","white"
275,"not","black","white"
276,"not","black","white"
277,"not","black","white"
