Major,Category,Workforce,Per_Male,Per_Female,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Per_White,Per_Black,Per_Asian,Per_Hispanic,Per_Other_Race,Per_Bachelors,Per_Masters,Per_Professional_Degree,Per_PhD,Per_Employed,Per_Unemployed,Per_Non_Labor,Bach_Med_Income,Grad_Med_Income
Computer Science ,Science,1665000.00,75.10,24.90,30.90,29.50,21.40,18.10,49.60,7.80,29.30,8.60,4.70,67.40,28.10,1.60,2.80,88.20,2.00,9.80,101600.00,128800.00
Engineering ,Science,695400.00,81.30,18.70,24.10,26.10,25.30,24.40,53.90,7.10,20.20,14.20,4.60,61.00,31.30,4.00,3.80,87.80,1.90,10.30,90490.00,116100.00
Civil Engineering ,Science,556200.00,77.70,22.30,29.70,25.80,22.30,22.10,62.10,5.00,16.40,12.30,4.20,63.90,29.70,2.60,3.80,89.80,1.40,8.80,94370.00,107500.00
Electrical Engineering ,Science,1197000.00,84.50,15.50,22.50,26.30,23.70,27.50,47.10,5.80,33.60,9.40,4.00,53.20,37.20,2.90,6.70,88.50,1.70,9.80,106600.00,139400.00
Mechanical Engineering ,Science,1033000.00,88.10,11.90,33.40,23.70,20.60,22.20,64.80,3.90,18.20,8.80,4.30,61.20,31.80,2.40,4.60,90.60,1.40,8.00,99180.00,124900.00
Mathmatics,Science,699900.00,57.00,43.00,27.20,24.50,22.80,25.40,65.40,6.80,15.30,7.70,4.70,48.50,38.60,4.80,8.10,85.40,1.70,12.90,76350.00,96530.00
Biology ,Science,2201000.00,44.20,55.80,35.60,26.60,22.00,15.80,63.00,8.40,14.00,9.60,5.00,40.80,23.70,22.60,12.90,87.20,1.40,11.30,60390.00,102800.00
Chemistry ,Science,613000.00,56.90,43.10,27.10,24.90,23.30,24.70,59.60,7.80,20.00,8.20,4.40,37.10,25.20,15.40,22.30,86.80,1.60,11.50,71060.00,109100.00
Psychology ,Science,3075000.00,26.30,73.70,32.60,28.90,23.30,15.10,65.10,10.60,6.30,12.50,5.40,52.40,34.50,6.30,6.80,84.80,2.10,13.10,52460.00,72490.00
Economics ,Science,1267000.00,64.90,35.10,28.00,26.10,22.10,23.90,62.20,6.60,17.40,9.40,4.50,58.60,29.10,8.50,3.80,85.50,2.40,12.10,89570.00,122100.00
Political Science ,Science,1440000.00,56.80,43.20,26.60,28.10,25.10,20.20,69.10,8.80,6.90,10.50,4.80,47.50,26.40,21.70,4.40,87.10,2.00,10.90,72420.00,102700.00
Sociology ,Science,878800.00,31.40,68.60,26.90,29.50,25.80,17.90,59.10,14.90,7.40,13.00,5.60,62.90,28.10,5.50,3.50,83.60,2.30,14.10,56700.00,75620.00
Nursing ,Science,2842000.00,12.10,87.90,28.40,27.10,23.40,21.10,63.20,10.30,12.40,9.70,4.30,71.20,20.90,4.50,3.50,87.50,1.20,11.30,73560.00,99060.00
Other Science,Science,11870000.00,51.00,49.00,32.30,27.40,22.00,18.30,62.20,8.00,14.30,10.60,5.00,56.30,29.10,7.20,7.30,86.90,1.70,11.40,68510.00,91410.00
General Business ,Business,2844000.00,57.20,42.80,21.10,27.60,25.20,26.00,67.00,9.30,9.70,9.60,4.60,74.70,21.20,2.90,1.20,84.90,1.60,13.50,74570.00,96280.00
Accounting ,Business,2290000.00,45.30,54.70,22.40,24.60,25.70,27.30,62.70,9.20,12.70,11.60,3.90,68.30,26.50,4.10,1.10,85.70,1.70,12.50,77200.00,102000.00
Business Adminstration ,Business,3839000.00,51.30,48.70,20.80,28.00,25.00,26.20,62.10,12.50,7.60,13.20,4.60,75.20,20.90,2.70,1.20,86.30,2.00,11.70,71220.00,90840.00
Marketing ,Business,1516000.00,42.80,57.20,28.60,28.70,22.50,20.20,71.70,8.00,6.20,10.00,4.10,82.10,15.20,1.90,0.90,85.90,2.00,12.10,73440.00,88750.00
Finance ,Business,1429000.00,65.50,34.50,29.80,28.60,22.40,19.20,68.50,6.90,11.00,9.30,4.30,69.90,24.90,4.10,1.10,88.40,1.90,9.70,91400.00,116100.00
Other Business ,Business,1615000.00,49.10,50.90,29.30,29.40,24.30,16.90,60.70,9.80,11.70,13.10,4.70,75.40,20.90,2.60,1.10,87.10,2.00,10.90,72540.00,92260.00
General Education,Education,1876000.00,22.40,77.60,18.30,27.00,28.00,26.80,68.20,9.30,5.30,12.90,4.40,50.90,42.90,3.60,2.60,81.00,1.20,17.80,50490.00,66880.00
Elementary Education,Education,1491000.00,9.60,90.40,19.10,27.80,26.70,26.40,79.60,5.90,3.00,7.80,3.80,53.50,41.70,3.00,1.80,80.90,0.80,18.30,47320.00,65170.00
Other Education,Education,2032000.00,29.30,70.70,21.90,26.80,24.20,27.20,76.50,7.20,3.70,8.50,4.00,49.30,43.80,3.90,3.00,82.90,1.30,15.80,49600.00,67460.00
Communications ,Humanities,1658000.00,38.20,61.80,30.10,30.50,23.40,16.00,70.90,9.30,5.10,10.00,4.70,76.00,19.00,3.30,1.70,86.30,2.40,11.40,64760.00,76560.00
English Language and Literature ,Humanities,1670000.00,33.60,66.40,23.30,28.80,27.30,20.50,72.80,6.20,8.40,7.80,4.70,53.00,32.70,8.80,5.40,83.40,2.30,14.30,56180.00,75370.00
Liberal Arts ,Humanities,744600.00,38.10,61.90,21.50,29.10,26.20,23.20,65.40,9.30,7.80,12.40,5.00,71.80,21.50,4.50,2.20,81.30,2.60,16.10,54560.00,77310.00
History ,Humanities,1166000.00,60.80,39.20,23.30,29.50,26.60,20.60,77.20,5.50,5.30,7.70,4.40,49.60,31.40,13.90,5.00,86.10,2.20,11.70,62340.00,85160.00
Fine Arts ,Humanities,684600.00,38.30,61.70,23.40,29.60,25.40,21.70,69.40,6.10,9.50,9.70,5.20,76.90,19.60,2.20,1.30,80.80,2.90,16.30,50730.00,63200.00
Commerical Art and Graphic Design ,Humanities,723300.00,34.20,65.80,32.50,32.10,19.80,15.60,66.00,5.40,10.50,13.00,5.10,88.40,10.10,1.10,0.50,83.20,2.80,14.00,58490.00,69310.00
Family and Consumer Sciences ,Humanities,493300.00,9.50,90.50,30.00,27.90,22.10,20.00,67.70,9.00,8.40,10.80,4.10,68.50,26.50,2.90,2.00,80.30,1.70,18.00,46770.00,63800.00
Fitness and Recreation,Humanities,855900.00,54.70,45.30,47.90,27.30,17.30,7.50,72.10,8.30,4.60,10.00,5.00,65.40,22.60,5.90,6.20,88.50,1.90,9.60,55020.00,73180.00
Criminal Justice and Fire Protection,Humanities,1385000.00,58.20,41.80,32.10,29.20,24.40,14.30,61.30,15.90,2.80,15.20,4.70,76.90,18.10,3.60,1.40,87.70,2.00,10.30,61830.00,76740.00
Social Work ,Humanities,637700.00,13.00,87.00,27.80,27.30,25.20,19.80,61.40,16.90,4.10,13.20,4.40,47.90,47.10,3.00,2.00,83.30,1.60,15.10,46700.00,62510.00
Other Humanities ,Humanities,5103000.00,47.20,52.80,30.30,29.30,22.20,18.20,69.00,8.20,6.80,10.50,5.50,66.10,25.10,5.20,3.60,84.80,2.40,12.80,57340.00,71220.00
